step,pend_rad,arm_rad,pend_vel,arm_vel,voltage,late,controller
282,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
283,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
284,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
285,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
286,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
287,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
288,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
289,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
290,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
291,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
292,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
293,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
294,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
295,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
296,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
297,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
298,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
299,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
300,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
301,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
302,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
303,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
304,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
305,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
306,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
307,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
308,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
309,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
310,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
311,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
312,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
313,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
314,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
315,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
316,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
317,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
318,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
319,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
320,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
321,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
322,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
323,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
324,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
325,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
326,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
327,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
328,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
329,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
330,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
331,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
332,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
333,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
334,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
335,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
336,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
337,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
338,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
339,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
340,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
341,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
342,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
343,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
344,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
345,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
346,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
347,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
348,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
349,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
350,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
351,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
352,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
353,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
354,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
355,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
356,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
357,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
358,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
359,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
360,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
361,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
362,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
363,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
364,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
365,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
366,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
367,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
368,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
369,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
370,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
371,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
